month,state,bike_vol_ave_bysegment,bike_crash_ave_bysegment,ped_vol_ave_bysegment,ped_crash_ave_bysegment
1,DC,91.29053,15,342.52971,34
2,DC,100.35174,14.16666667,495.48092,31.33333333
3,DC,127.17367,17.5,906.54483,31.5
4,DC,193.6425,26,473.18006,31.16666667
5,DC,171.36286,31.16666667,673.77152,34.5
6,DC,496.62825,29.33333333,951.13067,30.83333333
7,DC,323.31002,28.33333333,1320.59548,32.66666667
8,DC,349.24403,35.16666667,1379.74973,28.16666667
9,DC,363.83696,26,940.31575,33.16666667
10,DC,318.96917,35.33333333,953.33524,37.83333333
11,DC,126.5301,22.33333333,238.9401,30.83333333
12,DC,104.57596,14.5,125.07979,33.5
1,OR,258.35,7,,
2,OR,227.54303,6.4,,
3,OR,289.40358,8.4,,
4,OR,337.67056,6,,
5,OR,526.0879,11,,
6,OR,552.90754,10.8,,
7,OR,580.02369,12.8,,
8,OR,556.82304,11.6,,
9,OR,447.80274,12,,
10,OR,373.39624,10.2,,
11,OR,301.01639,8.8,,
12,OR,201.94917,5.6,,
1,VA,101.97477,1.833333333,507.67215,6.666666667
2,VA,124.21497,1,409.01266,5.166666667
3,VA,264.93928,2.166666667,447.54402,6
4,VA,272.0633,3.166666667,514.30868,4.666666667
5,VA,290.06102,4.2,336.85851,3.166666667
6,VA,320.41823,3.166666667,399.61916,3.666666667
7,VA,307.53188,4.4,285.30381,5.166666667
8,VA,323.56503,5.5,575.85781,5.833333333
9,VA,302.65351,3,371.31374,5.833333333
10,VA,249.56357,5,430.66662,8.333333333
11,VA,166.61311,2.8,367.74872,6.833333333
12,VA,105.32873,1.5,244.85935,6.666666667
