state,year,num_segment_id_crash,bike_vol,num_bikecrash,num_bikecrash_persegmentid,crash_inv_bikenum,fatalnum_bike,ped_vol,num_pedcrash,num_segment_id_crash,num_pedcrash_persegmentid,crash_inv_pednum,fatalnum_ped
DC,2018,36,167.4473,424,11.77777778,429,2,129.63761,582,36,16.16666667,619,8
DC,2019,36,165.7294,422,11.72222222,426,0,93.42111,482,36,13.38888889,510,5
DC,2020,36,150.1649,197,5.472222222,197,0,445.25733,242,36,6.722222222,264,4
DC,2021,36,129.8208,229,6.361111111,234,1,1478.52326,317,36,8.805555556,344,3
DC,2022,36,204.5906,218,6.055555556,226,2,1476.25991,295,36,8.194444444,323,2
DC,2023,36,433.7373,279,7.75,288,1,1149.24392,419,36,11.63888889,438,3
VA,2018,50,252.2539,36,0.72,43,0,538.96324,78,50,1.56,81,0
VA,2019,50,239.8338,61,1.22,70,0,481.96575,84,50,1.68,96,3
VA,2020,50,273.1206,25,0.5,28,0,284.94043,53,50,1.06,61,1
VA,2021,50,210.7869,25,0.5,26,0,501.79308,64,50,1.28,66,1
VA,2022,50,208.4554,30,0.6,33,0,258.31068,56,50,1.12,66,0
VA,2023,50,225.1906,36,0.72,35,0,291.3224,73,50,1.46,76,0
OR,2018,196,402.691,163,0.831632653,163,1,,,,,,
OR,2019,196,397.4018,147,0.75,148,0,,,,,,
OR,2020,196,364.4435,84,0.428571429,83,1,,,,,,
OR,2021,196,305.9764,74,0.37755102,73,1,,,,,,
OR,2022,196,305.0141,85,0.433673469,86,0,,,,,,
OR,2023,196,283.91,,,,,,,,,,
