segment_area_id,year,pedcrash
39,2018,2
46,2018,2
48,2018,3
172,2018,2
272,2018,5
273,2018,4
274,2018,5
276,2018,5
278,2018,6
279,2018,3
283,2018,6
284,2018,6
1669,2018,11
1670,2018,2
1671,2018,2
1672,2018,9
1673,2018,0
1674,2018,18
1678,2018,47
1679,2018,39
1680,2018,85
1685,2018,1
1686,2018,2
1687,2018,7
1691,2018,12
1695,2018,25
1699,2018,0
1703,2018,0
1707,2018,15
1735,2018,22
1742,2018,1
1744,2018,0
1758,2018,1
1759,2018,1
1760,2018,1
39,2019,3
46,2019,4
48,2019,0
172,2019,1
272,2019,4
273,2019,8
274,2019,4
276,2019,8
278,2019,3
279,2019,7
283,2019,7
284,2019,8
1669,2019,12
1670,2019,1
1671,2019,1
1672,2019,1
1673,2019,0
1674,2019,14
1678,2019,51
1679,2019,41
1680,2019,68
1685,2019,1
1686,2019,1
1687,2019,3
1691,2019,1
1695,2019,23
1699,2019,0
1703,2019,0
1707,2019,9
1735,2019,22
1742,2019,0
1744,2019,0
1758,2019,3
1759,2019,0
1760,2019,0
39,2020,0
46,2020,0
48,2020,0
172,2020,1
272,2020,6
273,2020,0
274,2020,2
276,2020,2
278,2020,4
279,2020,3
283,2020,7
284,2020,8
1669,2020,10
1670,2020,2
1671,2020,2
1672,2020,4
1673,2020,1
1674,2020,12
1678,2020,17
1679,2020,21
1680,2020,28
1685,2020,0
1686,2020,2
1687,2020,2
1691,2020,2
1695,2020,11
1699,2020,0
1703,2020,0
1707,2020,7
1735,2020,6
1742,2020,0
1744,2020,0
1758,2020,3
1759,2020,0
1760,2020,0
39,2021,2
46,2021,2
48,2021,1
172,2021,0
272,2021,4
273,2021,4
274,2021,2
276,2021,1
278,2021,7
279,2021,2
283,2021,4
284,2021,3
1669,2021,16
1670,2021,1
1671,2021,1
1672,2021,6
1673,2021,1
1674,2021,7
1678,2021,26
1679,2021,21
1680,2021,30
1685,2021,0
1686,2021,3
1687,2021,3
1691,2021,3
1695,2021,14
1699,2021,2
1703,2021,0
1707,2021,9
1735,2021,18
1742,2021,0
1744,2021,0
1758,2021,2
1759,2021,0
1760,2021,0
39,2022,0
46,2022,0
48,2022,1
172,2022,0
272,2022,2
273,2022,10
274,2022,2
276,2022,2
278,2022,4
279,2022,4
283,2022,6
284,2022,6
1669,2022,7
1670,2022,3
1671,2022,2
1672,2022,9
1673,2022,2
1674,2022,11
1678,2022,21
1679,2022,17
1680,2022,37
1685,2022,0
1686,2022,0
1687,2022,6
1691,2022,5
1695,2022,10
1699,2022,0
1703,2022,0
1707,2022,7
1735,2022,12
1742,2022,1
1744,2022,0
1758,2022,1
1759,2022,1
1760,2022,1
39,2023,1
46,2023,1
48,2023,2
172,2023,2
272,2023,1
273,2023,3
274,2023,2
276,2023,5
278,2023,13
279,2023,5
283,2023,9
284,2023,10
1669,2023,8
1670,2023,2
1671,2023,2
1672,2023,3
1673,2023,0
1674,2023,30
1678,2023,21
1679,2023,24
1680,2023,54
1685,2023,2
1686,2023,0
1687,2023,7
1691,2023,14
1695,2023,19
1699,2023,0
1703,2023,0
1707,2023,10
1735,2023,22
1742,2023,2
1744,2023,0
1758,2023,1
1759,2023,1
1760,2023,1
